Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr22	14431347	0	0
chr22	14433659	0.00129948	0.0187562
chr22	14439734	0.00262952	0.05672579
chr22	14441016	3.9233e-4	0.06239148
chr22	14449374	0.00255684	0.09933624
chr22	14492336	0.01277125	0.28442151
chr22	14520628	0.00844654	0.40707059
chr22	14607431	0.02611925	0.78860574
chr22	14720136	0.0337758	1.28579013
chr22	15064595	0.0114153	1.45775699
chr22	15226194	0.00838279	1.58539503
chr22	15229828	1.2552e-4	1.58730675
chr22	15230030	3.568e-5	1.58785018
chr22	15230172	8.01e-6	1.58797213
chr22	15230742	1.478e-5	1.5881972
chr22	15232807	4.676e-5	1.58890956
chr22	15233238	6.48e-6	1.58900831
chr22	15233522	3.63e-6	1.58906362
chr22	15237624	4.826e-5	1.58979896
chr22	15244947	0.00128153	1.60933575
chr22	15245994	1.3092e-4	1.61133171
chr22	15252593	0.00107703	1.62775914
chr22	15252977	3.632e-5	1.62831313
chr22	15263131	2.6752e-4	1.63239635
chr22	15263454	8.27e-6	1.63252264
chr22	15264679	3.181e-5	1.63300825
chr22	15264850	4.45e-6	1.63307619
chr22	15265370	1.351e-5	1.63328246
chr22	15268818	9.037e-5	1.63466224
chr22	15271316	7.314e-5	1.63577911
chr22	15274688	4.2146e-4	1.64221675
chr22	15290552	0.00244712	1.67963461
chr22	15292889	5.513e-4	1.68806559
chr22	15293421	8.538e-5	1.68937129
chr22	15312930	1.7265e-4	1.69201505
chr22	15327532	1.3115e-4	1.69402528
chr22	15338099	9.9970000000000007e-05	1.6955587
chr22	15341363	3.236e-5	1.69605518
chr22	15345454	4.47e-5	1.69674109
chr22	15347780	2.732e-5	1.69716033
chr22	15358160	1.2491e-4	1.69907874
chr22	15363844	7.412e-5	1.70021744
chr22	15407252	5.593e-4	1.70883478
chr22	15424461	5.8813e-4	1.71790642
chr22	15429274	3.2934e-4	1.7229879
chr22	15432151	2.5014e-4	1.72684808
chr22	15439633	8.9852e-4	1.7407209
chr22	15442058	5.9252e-4	1.7498707
chr22	15449907	0.00212992	1.7827777
chr22	15459163	0.00105826	1.79913757
chr22	15459316	7.62e-6	1.79925539
chr22	15462210	1.1432e-4	1.80102302
chr22	15462259	1.98e-6	1.80105363
chr22	15464193	7.975e-5	1.80228688
chr22	15468501	0.00217809	1.83597872
chr22	15471261	1.1026e-4	1.83768461
chr22	15471418	6.11e-6	1.83777921
chr22	15471970	2.096e-5	1.83810349
